bench,time,size,compression_ratio,ns,time_ratio,quality
compression/zopfli.pack,59.815 s,464437,.144,59815000000.000,597.1500000000,-297.6470000000
compression/brotli.pack,7.7180 s,301546,.094,7718000000.0000,76.1800000000,-37.1370000000
compression/deflate-Best.pack,953.03 ms,498054,.155,953030000.00,8.5303000000,-3.3426500000
compression/yazi-BestSize.pack,337.98 ms,500247,.155,337980000.00,2.3798000000,-.2674000000
compression/flate2-8.pack,304.64 ms,501494,.156,304640000.00,2.0464000000,-.1012000000
compression/flate2-7.pack,194.30 ms,505345,.157,194300000.00,.9430000000,.4500000000
compression/deflate-Default.pack,161.69 ms,510688,.159,161690000.00,.6169000000,.6120500000
compression/flate2-6.pack,125.98 ms,511734,.159,125980000.00,.2598000000,.7906000000
compression/lzma-rs.pack,98.247 ms,1131078,.352,98247000.000,-.0175300000,.8327650000
compression/yazi-Default.pack,114.25 ms,511734,.159,114250000.00,.1425000000,.8492500000
compression/lzma-rs/2.pack,301.65 us,3207394,1.000,301650.00,-.9969835000,.9984917500
compression/lzma-rs/xz.pack,292.64 us,3207448,1.000,292640.00,-.9970736000,.9985368000
compression/tar.pack,236.92 us,3209216,1.000,236920.00,-.9976308000,.9988154000
compression/flate2-5.pack,57.348 ms,531571,.165,57348000.000,-.4265200000,1.1307600000
compression/flate2-4.pack,44.732 ms,546679,.170,44732000.000,-.5526800000,1.1913400000
compression/flate2-3.pack,41.904 ms,549306,.171,41904000.000,-.5809600000,1.2049800000
compression/zstd-level-9.pack,43.882 ms,404551,.126,43882000.000,-.5611800000,1.2175900000
compression/flate2-2.pack,29.021 ms,619885,.193,29021000.000,-.7097900000,1.2583950000
compression/deflate-Fast.pack,26.605 ms,692936,.216,26605000.000,-.7339500000,1.2589750000
compression/yazi-BestSpeed.pack,25.976 ms,691183,.215,25976000.000,-.7402400000,1.2626200000
compression/zstd-level-8.pack,33.505 ms,408464,.127,33505000.000,-.6649500000,1.2689750000
compression/lz4-compression.pack,13.479 ms,1041702,.324,13479000.000,-.8652100000,1.2706050000
compression/snappy-framed.pack,12.330 ms,993995,.309,12330000.000,-.8767000000,1.2838500000
compression/lz_fear.pack,13.951 ms,926506,.288,13951000.000,-.8604900000,1.2862450000
compression/zstd-level-7.pack,28.139 ms,419632,.130,28139000.000,-.7186100000,1.2943050000
compression/flate2-1.pack,18.100 ms,705536,.219,18100000.000,-.8190000000,1.3000000000
compression/lz4_flex.pack,6.4156 ms,999937,.311,6415600.0000,-.9358440000,1.3124220000
compression/snap.pack,3.8431 ms,993450,.309,3843100.0000,-.9615690000,1.3262845000
compression/zstd-level-6.pack,19.477 ms,457444,.142,19477000.000,-.8052300000,1.3316150000
compression/lzzzz.pack,4.1939 ms,926487,.288,4193900.0000,-.9580610000,1.3350305000
compression/zstd-level-5.pack,17.100 ms,464012,.144,17100000.000,-.8290000000,1.3425000000
compression/zstd-level-4.pack,9.9698 ms,481933,.150,9969800.0000,-.9003020000,1.3751510000
compression/zstd-level-3.pack,9.5165 ms,483315,.150,9516500.0000,-.9048350000,1.3774175000
compression/zstd-level-1.pack,7.3524 ms,502723,.156,7352400.0000,-.9264760000,1.3852380000
compression/zstd-level-2.pack,7.4803 ms,493719,.153,7480300.0000,-.9251970000,1.3860985000
compression/zip.pack,12.564 ms,55602,.017,12564000.000,-.8743600000,1.4286800000
