bench,pack_time,unpack_time,compression_ratio,total_quality
compression/lzzzz,4.2411 ms,7.3350 ns,.288,1.66736
compression/lz4_flex,6.6342 ms,5.7949 ns,.311,1.65564
compression/zstd/level-7,28.182 ms,58.072 us,.130,1.35669
compression/zstd/level-8,33.823 ms,55.919 us,.127,1.3541
compression/zstd/level-9,46.246 ms,53.602 us,.126,1.33488
compression/zstd/level-1,7.4269 ms,72.118 us,.156,1.33184
compression/zstd/level-6,19.671 ms,67.260 us,.142,1.32902
compression/zstd/level-4,10.025 ms,72.354 us,.150,1.32567
compression/zstd/level-3,9.6677 ms,72.955 us,.150,1.32356
compression/zstd/level-2,7.6618 ms,75.141 us,.153,1.31689
compression/zstd/level-5,16.800 ms,71.281 us,.144,1.3156
compression/lzma-rs/2,354.98 us,585.10 us,1.000,-1.42639
compression/lzma-rs/xz,369.87 us,945.38 us,1.000,-3.22782
compression/zip,12.297 ms,1.2630 ms,.017,-4.59999
compression/snap,4.0101 ms,2.2075 ms,.309,-9.37478
compression/snappy_framed/nocrc,12.868 ms,2.8311 ms,.309,-12.5149
compression/yazi/BestSize,353.22 ms,3.1996 ms,.155,-15.1698
compression/yazi/Default,117.70 ms,3.3532 ms,.159,-15.35
compression/yazi/BestSpeed,27.648 ms,5.1146 ms,.215,-23.9459
compression/flate2/8,271.40 ms,5.6533 ms,.156,-27.234
compression/flate2/7,176.40 ms,5.7143 ms,.157,-27.3018
compression/flate2/6,118.54 ms,5.8003 ms,.159,-27.5876
compression/flate2/5,58.243 ms,6.2278 ms,.165,-29.5759
compression/flate2/4,46.348 ms,6.3681 ms,.170,-30.2489
compression/lz4-compression,13.594 ms,6.5402 ms,.324,-31.066
compression/flate2/3,42.608 ms,6.5849 ms,.171,-31.3238
compression/lz-fear,14.342 ms,6.8354 ms,.288,-32.5349
compression/flate2/2,29.684 ms,7.6411 ms,.193,-36.578
compression/flate2/1,19.166 ms,8.1157 ms,.219,-38.9312
compression/snappy_framed/crc,12.998 ms,10.021 ms,.309,-48.4647
compression/brotli,8.2218 s,7.9450 ms,.094,-58.553
compression/deflate/Best,1.0126 s,18.551 ms,.155,-93.5752
compression/deflate/Default,168.40 ms,19.017 ms,.159,-93.7957
compression/deflate/Fast,27.801 ms,24.478 ms,.216,-120.764
compression/lzma-rs,128.82 ms,228.05 ms,.352,-1138.91
