bench,time,size,compression_ratio,ns,time_ratio,quality
compression/lzma-rs.unpack,228.05 ms,,0,228050000.00,2279.5000000000,-2278.5000000000
compression/deflate/Fast.unpack,24.478 ms,,0,24478000.000,243.7800000000,-242.7800000000
compression/deflate/Default.unpack,19.017 ms,,0,19017000.000,189.1700000000,-188.1700000000
compression/deflate/Best.unpack,18.551 ms,,0,18551000.000,184.5100000000,-183.5100000000
compression/snappy_framed/crc.unpack,10.021 ms,,0,10021000.000,99.2100000000,-98.2100000000
compression/flate2/1.unpack,8.1157 ms,,0,8115700.0000,80.1570000000,-79.1570000000
compression/brotli.unpack,7.9450 ms,,0,7945000.0000,78.4500000000,-77.4500000000
compression/flate2/2.unpack,7.6411 ms,,0,7641100.0000,75.4110000000,-74.4110000000
compression/lz-fear.unpack,6.8354 ms,,0,6835400.0000,67.3540000000,-66.3540000000
compression/flate2/3.unpack,6.5849 ms,,0,6584900.0000,64.8490000000,-63.8490000000
compression/lz4-compression.unpack,6.5402 ms,,0,6540200.0000,64.4020000000,-63.4020000000
compression/flate2/4.unpack,6.3681 ms,,0,6368100.0000,62.6810000000,-61.6810000000
compression/flate2/5.unpack,6.2278 ms,,0,6227800.0000,61.2780000000,-60.2780000000
compression/flate2/6.unpack,5.8003 ms,,0,5800300.0000,57.0030000000,-56.0030000000
compression/flate2/7.unpack,5.7143 ms,,0,5714300.0000,56.1430000000,-55.1430000000
compression/flate2/8.unpack,5.6533 ms,,0,5653300.0000,55.5330000000,-54.5330000000
compression/yazi/BestSpeed.unpack,5.1146 ms,,0,5114600.0000,50.1460000000,-49.1460000000
compression/yazi/Default.unpack,3.3532 ms,,0,3353200.0000,32.5320000000,-31.5320000000
compression/yazi/BestSize.unpack,3.1996 ms,,0,3199600.0000,30.9960000000,-29.9960000000
compression/snappy_framed/nocrc.unpack,2.8311 ms,,0,2831100.0000,27.3110000000,-26.3110000000
compression/snap.unpack,2.2075 ms,,0,2207500.0000,21.0750000000,-20.0750000000
compression/zip.unpack,1.2630 ms,,0,1263000.0000,11.6300000000,-10.6300000000
compression/lzma-rs/xz.unpack,945.38 us,,0,945380.00,8.4538000000,-7.4538000000
compression/lzma-rs/2.unpack,585.10 us,,0,585100.00,4.8510000000,-3.8510000000
compression/zstd/level-2.unpack,75.141 us,,0,75141.000,-.2485900000,1.2485900000
compression/zstd/level-3.unpack,72.955 us,,0,72955.000,-.2704500000,1.2704500000
compression/zstd/level-4.unpack,72.354 us,,0,72354.000,-.2764600000,1.2764600000
compression/zstd/level-1.unpack,72.118 us,,0,72118.000,-.2788200000,1.2788200000
compression/zstd/level-5.unpack,71.281 us,,0,71281.000,-.2871900000,1.2871900000
compression/zstd/level-6.unpack,67.260 us,,0,67260.000,-.3274000000,1.3274000000
compression/zstd/level-7.unpack,58.072 us,,0,58072.000,-.4192800000,1.4192800000
compression/zstd/level-8.unpack,55.919 us,,0,55919.000,-.4408100000,1.4408100000
compression/zstd/level-9.unpack,53.602 us,,0,53602.000,-.4639800000,1.4639800000
compression/lzzzz.unpack,7.3350 ns,,0,7.3350,-.9999266500,1.9999266500
compression/lz4_flex.unpack,5.7949 ns,,0,5.7949,-.9999420510,1.9999420510
