bench,time,size,compression_ratio,ns,time_ratio,quality
compression/lzma-rs.unpack,210.45 ms,,0,210450000.00,2103.5000000000,-2102.5000000000
compression/zopfli.pack,59.815 s,464437,.144,59815000000.000,597.1500000000,-297.6470000000
compression/deflate-Fast.unpack,24.436 ms,,0,24436000.000,243.3600000000,-242.3600000000
compression/deflate-Default.unpack,19.197 ms,,0,19197000.000,190.9700000000,-189.9700000000
compression/deflate-Best.unpack,18.519 ms,,0,18519000.000,184.1900000000,-183.1900000000
compression/snappy-framed.unpack.crc,9.5301 ms,,0,9530100.0000,94.3010000000,-93.3010000000
compression/flate2-1.unpack,7.6414 ms,,0,7641400.0000,75.4140000000,-74.4140000000
compression/brotli.unpack,7.2828 ms,,0,7282800.0000,71.8280000000,-70.8280000000
compression/flate2-2.unpack,7.1148 ms,,0,7114800.0000,70.1480000000,-69.1480000000
compression/lz_fear.unpack,6.8218 ms,,0,6821800.0000,67.2180000000,-66.2180000000
compression/lz4-compression.unpack,6.4815 ms,,0,6481500.0000,63.8150000000,-62.8150000000
compression/flate2-3.unpack,6.1878 ms,,0,6187800.0000,60.8780000000,-59.8780000000
compression/flate2-4.unpack,6.0030 ms,,0,6003000.0000,59.0300000000,-58.0300000000
compression/flate2-5.unpack,5.7901 ms,,0,5790100.0000,56.9010000000,-55.9010000000
compression/flate2-6.unpack,5.4818 ms,,0,5481800.0000,53.8180000000,-52.8180000000
compression/flate2-7.unpack,5.3943 ms,,0,5394300.0000,52.9430000000,-51.9430000000
compression/flate2-8.unpack,5.3297 ms,,0,5329700.0000,52.2970000000,-51.2970000000
compression/yazi-BestSpeed.unpack,5.0333 ms,,0,5033300.0000,49.3330000000,-48.3330000000
compression/brotli.pack,7.7180 s,301546,.094,7718000000.0000,76.1800000000,-37.1370000000
compression/yazi-Default.unpack,3.2946 ms,,0,3294600.0000,31.9460000000,-30.9460000000
compression/yazi-BestSize.unpack,3.1504 ms,,0,3150400.0000,30.5040000000,-29.5040000000
compression/snappy-framed.unpack.nocrc,2.6818 ms,,0,2681800.0000,25.8180000000,-24.8180000000
compression/snap.unpack,2.1702 ms,,0,2170200.0000,20.7020000000,-19.7020000000
compression/zip.unpack,1.1954 ms,,0,1195400.0000,10.9540000000,-9.9540000000
compression/lzma-rs/xz.unpack,814.21 us,,0,814210.00,7.1421000000,-6.1421000000
compression/deflate-Best.pack,953.03 ms,498054,.155,953030000.00,8.5303000000,-3.3426500000
compression/lzma-rs/2.unpack,501.74 us,,0,501740.00,4.0174000000,-3.0174000000
compression/yazi-BestSize.pack,337.98 ms,500247,.155,337980000.00,2.3798000000,-.2674000000
compression/flate2-8.pack,304.64 ms,501494,.156,304640000.00,2.0464000000,-.1012000000
compression/flate2-7.pack,194.30 ms,505345,.157,194300000.00,.9430000000,.4500000000
compression/deflate-Default.pack,161.69 ms,510688,.159,161690000.00,.6169000000,.6120500000
compression/flate2-6.pack,125.98 ms,511734,.159,125980000.00,.2598000000,.7906000000
compression/lzma-rs.pack,98.247 ms,1131078,.352,98247000.000,-.0175300000,.8327650000
compression/yazi-Default.pack,114.25 ms,511734,.159,114250000.00,.1425000000,.8492500000
compression/lzma-rs/2.pack,301.65 us,3207394,1.000,301650.00,-.9969835000,.9984917500
compression/lzma-rs/xz.pack,292.64 us,3207448,1.000,292640.00,-.9970736000,.9985368000
compression/tar.pack,236.92 us,3209216,1.000,236920.00,-.9976308000,.9988154000
compression/flate2-5.pack,57.348 ms,531571,.165,57348000.000,-.4265200000,1.1307600000
compression/flate2-4.pack,44.732 ms,546679,.170,44732000.000,-.5526800000,1.1913400000
compression/flate2-3.pack,41.904 ms,549306,.171,41904000.000,-.5809600000,1.2049800000
compression/zstd-level-9.pack,43.882 ms,404551,.126,43882000.000,-.5611800000,1.2175900000
compression/zstd-level-2.unpack,74.352 us,,0,74352.000,-.2564800000,1.2564800000
compression/flate2-2.pack,29.021 ms,619885,.193,29021000.000,-.7097900000,1.2583950000
compression/deflate-Fast.pack,26.605 ms,692936,.216,26605000.000,-.7339500000,1.2589750000
compression/yazi-BestSpeed.pack,25.976 ms,691183,.215,25976000.000,-.7402400000,1.2626200000
compression/zstd-level-8.pack,33.505 ms,408464,.127,33505000.000,-.6649500000,1.2689750000
compression/lz4-compression.pack,13.479 ms,1041702,.324,13479000.000,-.8652100000,1.2706050000
compression/zstd-level-3.unpack,72.422 us,,0,72422.000,-.2757800000,1.2757800000
compression/zstd-level-4.unpack,72.170 us,,0,72170.000,-.2783000000,1.2783000000
compression/snappy-framed.pack,12.330 ms,993995,.309,12330000.000,-.8767000000,1.2838500000
compression/zstd-level-5.unpack,71.419 us,,0,71419.000,-.2858100000,1.2858100000
compression/lz_fear.pack,13.951 ms,926506,.288,13951000.000,-.8604900000,1.2862450000
compression/zstd-level-1.unpack,71.364 us,,0,71364.000,-.2863600000,1.2863600000
compression/zstd-level-7.pack,28.139 ms,419632,.130,28139000.000,-.7186100000,1.2943050000
compression/flate2-1.pack,18.100 ms,705536,.219,18100000.000,-.8190000000,1.3000000000
compression/lz4_flex.pack,6.4156 ms,999937,.311,6415600.0000,-.9358440000,1.3124220000
compression/snap.pack,3.8431 ms,993450,.309,3843100.0000,-.9615690000,1.3262845000
compression/zstd-level-6.unpack,66.994 us,,0,66994.000,-.3300600000,1.3300600000
compression/zstd-level-6.pack,19.477 ms,457444,.142,19477000.000,-.8052300000,1.3316150000
compression/lzzzz.pack,4.1939 ms,926487,.288,4193900.0000,-.9580610000,1.3350305000
compression/zstd-level-5.pack,17.100 ms,464012,.144,17100000.000,-.8290000000,1.3425000000
compression/zstd-level-4.pack,9.9698 ms,481933,.150,9969800.0000,-.9003020000,1.3751510000
compression/zstd-level-3.pack,9.5165 ms,483315,.150,9516500.0000,-.9048350000,1.3774175000
compression/zstd-level-1.pack,7.3524 ms,502723,.156,7352400.0000,-.9264760000,1.3852380000
compression/zstd-level-2.pack,7.4803 ms,493719,.153,7480300.0000,-.9251970000,1.3860985000
compression/zstd-level-7.unpack,57.484 us,,0,57484.000,-.4251600000,1.4251600000
compression/zip.pack,12.564 ms,55602,.017,12564000.000,-.8743600000,1.4286800000
compression/zstd-level-8.unpack,55.482 us,,0,55482.000,-.4451800000,1.4451800000
compression/zstd-level-9.unpack,53.171 us,,0,53171.000,-.4682900000,1.4682900000
compression/lzzzz.unpack,7.3390 ns,,0,7.3390,-.9999266100,1.9999266100
compression/lz4_flex.unpack,5.8115 ns,,0,5.8115,-.9999418850,1.9999418850
